osm_id,oneway,lanes,road_type,half_of_one,total_width,non_zero_means,classification,DotRef,DotRef_Lts,width
3709270,None,2,primary,None,12.30,7.00,6,8511,DotRef,6.30
3712712,None,2,primary,None,12.30,24.90,1b,38269,DotRef,6.30
3713102,no,2,primary,None,12.30,26.40,1b,48574,DotRef,6.30
3713141,None,2,primary,None,12.30,18.00,1a,6870,DotRef,6.30
3713821,None,2,primary,None,12.30,28.10,3b,17915,DotRef,6.30
3713822,no,2,primary,None,12.30,23.30,2b,18604,DotRef,6.30
3715808,None,2,primary,None,12.30,7.00,6,47605,DotRef,6.30
3754739,None,2,primary,None,12.30,0.00,5,18686,DotRef,6.30
3754748,None,2,primary,None,12.30,0.00,5,16617,DotRef,6.30
3754749,None,2,primary,None,12.30,0.00,5,58392,DotRef,6.30
3780698,None,2,primary,None,12.30,8.00,6,17512,DotRef,6.30
3780700,None,2,primary,None,12.30,6.80,6,17512,DotRef,6.30
3780704,None,2,primary,None,12.30,7.00,6,37637,DotRef,6.30
3789883,None,2,primary,None,12.30,6.70,6,56674,DotRef,6.30
3790265,None,2,primary,None,12.30,8.30,6,7562,DotRef,6.30
3790266,None,2,primary,None,12.30,6.80,6,26899,DotRef,6.30
3811034,None,2,primary,None,12.30,0.00,5,56642,DotRef,6.30
3867426,None,2,primary,None,12.30,0.00,5,3867426,primary,6.30
3869020,None,2,primary,None,12.30,17.60,1a,47506,DotRef,6.30
3869021,None,2,primary,None,12.30,6.80,6,47506,DotRef,6.30
3872543,None,2,primary,None,12.30,0.00,5,18648,DotRef,6.30
3872807,None,2,primary,None,12.30,4.60,6,15255,Lts,6.30
3873020,None,2,primary,None,12.30,7.80,6,56918,DotRef,6.30
3959460,None,2,primary,None,12.30,23.50,4b,28745,DotRef,6.30
3962555,None,2,primary,None,12.30,7.00,6,36814,DotRef,6.30
3975395,None,2,primary,None,12.30,0.00,5,3975395,primary,6.30
3975396,None,2,primary,None,12.30,0.00,5,3975396,primary,6.30
3978893,None,1,primary,None,9.15,24.90,2b,18467,DotRef,3.15
3981456,None,2,primary,None,12.30,None,6,57239,DotRef,6.30
3987798,None,2,primary,None,12.30,6.50,6,56688,DotRef,6.30
3987799,no,2,primary,None,12.30,7.00,6,56688,DotRef,6.30
